id,name,source,category,lethal_dose_mg_kg,onset_time_minutes,symptoms,antidote,description
taxine,Taxine,Yew tree (Taxus baccata),plant,3.0,60,Trembling|dizziness|cardiac arrest|sudden death,No antidote; CPR and cardiac support,Cardiotoxic alkaloid; ancient arrow poison; all parts except red aril are lethal
manchineel_toxin,Hippomane Toxins,Manchineel tree (Hippomane mancinella),plant,0,15,Severe skin blistering|blindness if sap contacts eyes|GI hemorrhage,Supportive care; decontamination,Most dangerous tree; rainwater runoff causes burns; smoke causes blindness
solanine,Solanine,Green potatoes|nightshade family,plant,6.0,120,Nausea|vomiting|hallucinations|paralysis|death,Supportive care; gastric lavage,Glycoalkaloid in green/sprouted potatoes and nightshade berries
atropine_toxic,Atropine (toxic dose),Deadly nightshade (Atropa belladonna),plant,453,30,Dilated pupils|dry mouth|hallucinations|tachycardia|seizures,Physostigmine,Anticholinergic; medicinal at low doses but poisonous from plant ingestion
curare,D-Tubocurarine,Chondrodendron tomentosum vine,plant,10,5,Muscle relaxation|respiratory paralysis|death by suffocation,Neostigmine (anticholinesterase),South American arrow poison; blocks nicotinic receptors; basis of modern anesthesia
taipan_venom,Taipan Venom,Inland taipan snake,animal,0.025,15,Coagulopathy|neurotoxicity|myotoxicity|organ failure,Polyvalent antivenom (CSL),Most toxic snake venom; single bite can kill 100 adults; neurotoxic and hemotoxic
king_cobra_venom,King Cobra Venom,King cobra (Ophiophagus hannah),animal,1.7,30,Blurred vision|vertigo|drowsiness|respiratory failure,Polyvalent antivenom,Largest venomous snake; neurotoxin causes respiratory paralysis
black_mamba_venom,Black Mamba Venom,Black mamba (Dendroaspis polylepis),animal,0.32,15,Metallic taste|blurred vision|paralysis|respiratory failure|death in hours,Polyvalent antivenom,Fastest snake; dendrotoxins block potassium channels; 100% fatal untreated
box_jellyfish_venom,Box Jellyfish Venom,Chironex fleckeri,animal,0.04,2,Extreme pain|cardiac arrest|skin necrosis|death in minutes,Vinegar (stops nematocyst discharge); antivenom,Most venomous marine animal; death possible within 2-5 minutes
blue_ringed_octopus,Blue-Ringed Octopus Venom,Hapalochlaena species,animal,0.01,5,Numbness|paralysis|respiratory failure|cardiac arrest,No antivenom; CPR and artificial ventilation,Contains tetrodotoxin; painless bite; paralysis with awareness; fatal without ventilation
cone_snail_venom,Conotoxin,Cone snails (Conus),animal,0.01,5,Pain|numbness|muscle paralysis|respiratory failure,No antivenom; supportive ventilation,Contains hundreds of unique peptide toxins; some species lethal to humans
scorpion_venom,Deathstalker Venom,Deathstalker scorpion (Leiurus quinquestriatus),animal,0.25,5,Extreme pain|tachycardia|pulmonary edema|respiratory failure,Specific antivenoms available,Most dangerous scorpion; neurotoxic peptides; potentially fatal to children
brown_recluse_venom,Loxoscelism,Brown recluse spider (Loxosceles reclusa),animal,15,120,Necrotic skin lesion|fever|hemolysis|kidney failure,No antivenom in US; wound care and dapsone,Dermonecrotic venom; skin lesion can grow for weeks; rarely fatal
sydney_funnel_web,Atracotoxin,Sydney funnel-web spider,animal,0.16,15,Profuse sweating|muscle spasms|pulmonary edema|death in 15min-3days,Specific antivenom (since 1981 no deaths),Most dangerous spider to humans; males more venomous than females
mustard_gas,Sulfur Mustard (HD),Synthetic (bis-2-chloroethyl sulfide),chemical,100,120,Skin blistering|eye damage|respiratory damage|cancer|delayed onset,No antidote; decontamination and supportive care,WWI chemical weapon; vesicant; effects delayed 2-24 hours; carcinogenic
lewisite,Lewisite,Synthetic (chlorovinyldichloroarsine),chemical,20,0,Immediate pain|blistering|pulmonary edema|systemic arsenic poisoning,BAL (British Anti-Lewisite / dimercaprol),Arsenic-based chemical weapon; unlike mustard gas causes immediate pain
chlorine_weapon,Chlorine Gas,Elemental chlorine Cl2,chemical,293,0,Coughing|chest pain|pulmonary edema|death,Fresh air; oxygen therapy; bronchodilators,First modern chemical weapon (WWI Ypres 1915); heavier than air
phosgene_weapon,Phosgene,Carbonyl chloride COCl2,chemical,5,240,Fresh hay smell|delayed pulmonary edema 24-48 hours|death,No antidote; immediate rest and oxygen therapy,Responsible for 80% of WWI chemical deaths; insidious delayed action
cyanide_poison,Hydrogen Cyanide,Prussic acid HCN,chemical,1.0,1,Headache|confusion|seizures|cardiac arrest|cherry-red skin,Hydroxocobalamin or sodium thiosulfate + amyl nitrite,Blocks cytochrome c oxidase; prevents cellular oxygen use; rapid death
arsenic_poison,Arsenic Trioxide,As2O3,chemical,14.6,60,Garlic breath|vomiting|diarrhea|organ failure|death in days,BAL (dimercaprol) or DMSA chelation,King of poisons; accumulates in hair and nails; chronic exposure causes cancer
thallium_poison,Thallium Sulfate,Tl2SO4,chemical,15,720,Hair loss|peripheral neuropathy|organ failure|death over weeks,Prussian blue (potassium ferric hexacyanoferrate),Odorless tasteless poison; slow onset made it popular for homicide
lead_poison,Lead,Pb (cumulative exposure),environmental,0,0,Cognitive impairment|anemia|kidney damage|seizures|developmental delay,EDTA or DMSA chelation therapy,Cumulative neurotoxin; especially harmful to children; no safe blood level
mercury_poison,Mercury (methylmercury),CH3Hg (organic mercury),environmental,20,1440,Numbness|vision/hearing loss|ataxia|cognitive decline|death,DMSA or DMPS chelation (limited efficacy),Bioaccumulates in fish; crosses blood-brain barrier; Minamata disease
asbestos_poison,Asbestos Fibers,Chrysotile/amphibole minerals,environmental,0,0,Mesothelioma (10-50 year latency)|asbestosis|lung cancer,No treatment for fiber removal; cancer therapy,Microscopic mineral fibers; 20-50 year latency for cancer; banned in many countries
radiation_acute,Ionizing Radiation (acute),Nuclear/radiological sources,radiation,0,30,Nausea|vomiting|hair loss|bone marrow failure|death (>6 Gy lethal),Prussian blue (cesium)|DTPA (plutonium)|potassium iodide (I-131),Acute radiation syndrome; cell death from DNA damage; lethal above 6 Gray whole body
parathion,Parathion,Synthetic organophosphate insecticide,chemical,2.0,15,Excessive secretions|seizures|respiratory failure,Atropine + pralidoxime,Extremely toxic insecticide; banned in many countries; inhibits cholinesterase
ddt,DDT (dichlorodiphenyltrichloroethane),Synthetic organochlorine insecticide,chemical,87,120,Tremors|seizures|liver damage (chronic)|endocrine disruption,No specific antidote; supportive care,Persistent organic pollutant; bioaccumulates; banned for agriculture use
paraquat,Paraquat,Synthetic bipyridyl herbicide,chemical,35,60,Mouth/throat burns|liver/kidney failure|pulmonary fibrosis|death,No effective antidote; Fullers earth if early,Extremely toxic herbicide; produces superoxide radicals; delayed lung fibrosis
glyphosate,Glyphosate,Synthetic organophosphonate herbicide,chemical,5600,60,GI irritation|metabolic acidosis (large doses),Supportive care; gastric lavage,Most-used herbicide worldwide; low acute toxicity; debated chronic effects
warfarin_toxic,Warfarin (rodenticide dose),Synthetic coumarin,chemical,186,1440,Internal bleeding|bruising|hemorrhage|death over days,Vitamin K1 injection + fresh frozen plasma,Anticoagulant rat poison; also used as blood thinner medication at lower doses
brodifacoum,Brodifacoum,Synthetic superwarfarin rodenticide,chemical,0.27,2880,Severe internal bleeding|hemorrhage from all orifices|death,High-dose vitamin K1 for weeks/months,Superwarfarin 100x more potent; single-feed kill; very long half-life (>20 days)
tetanus_toxin,Tetanospasmin,Clostridium tetani bacteria,biological,0.000002,1440,Jaw lock (trismus)|muscle rigidity|severe spasms|respiratory failure,Tetanus immunoglobulin + vaccine + metronidazole,Second most toxic substance known; blocks inhibitory neurotransmitter release
diphtheria_toxin,Diphtheria Toxin,Corynebacterium diphtheriae,biological,0.1,2880,Sore throat|pseudomembrane|myocarditis|nerve paralysis,Diphtheria antitoxin + antibiotics,Inhibits protein synthesis via ADP-ribosylation of EF-2; vaccine-preventable
shiga_toxin,Shiga Toxin,Shigella dysenteriae / E. coli O157:H7,biological,0.001,1440,Bloody diarrhea|hemolytic uremic syndrome|kidney failure,No antitoxin; supportive care and hydration,Ribosome-inactivating protein; causes hemolytic uremic syndrome in children
conotoxin_geo,Conotoxin (geography cone),Conus geographus marine snail,animal,0.01,5,Intense pain|paralysis|respiratory failure|cardiac arrest|death,No antivenom; artificial ventilation,Most venomous snail; multiple toxin cocktail; painless sting can be lethal
palytoxin,Palytoxin,Palythoa coral zoanthids,animal,0.00015,30,Chest pain|breathing difficulty|muscle necrosis|cardiac failure,No antidote; supportive care,One of most toxic non-protein substances; disrupts ion channels; aquarium risk
batrachotoxin,Batrachotoxin,Poison dart frogs (Phyllobates),animal,0.002,1,Cardiac arrhythmia|heart failure|muscle paralysis|death,No antidote; CPR only,Steroidal alkaloid; indigenous peoples use for blow darts; irreversible Na channel opener
saxitoxin,Saxitoxin,Dinoflagellates (red tide) in shellfish,biological,0.0057,5,Tingling|numbness|paralysis|respiratory failure,No antidote; ventilatory support,Paralytic shellfish poisoning; 1000x more toxic than cyanide; sodium channel blocker
